Methodology Code,Registry,Methodology Name,Project Type Category
VM0032,Verra,VM0032; VM0042,Rewilding
AMS-III.D.,Verra,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Soil & Livestock
ACM0008,Verra,ACM0008,Fossil gas leaks
VM0007,Verra,VM0007; VM0042,Forest management
VM0016,Verra,VM0016,Soil & Livestock
AMS-III.BM,Verra,AMS-III.BM,Bioenergy
VM0012,Verra,VM0012,Waste management
VM0034,Verra,VM0034,Reforestation and ecosystem restoration
VM0049,Verra,VM0049,Engineered Removals
AMS-III.H.,Verra,AMS-III.H.,Landfill gas
AMS-III.E.,Verra,AMS-III.E.,Soil & Livestock
VMR0007,Verra,VMR0007,Waste management
ACM0002,Verra,ACM0002,Mixed renewables
VM0035,Verra,VM0035,Soil & Livestock
AM0023,Verra,AM0023,Fossil gas leaks
AMS-III.C.,Verra,AMS-III.C.,Waste to energy
VM0003,Verra,VM0003,Afforestation/Reforestation
AMS-I.F.,Verra,AMS-I.F.; AMS-III.C.; VM0038,Bioenergy
AMS-III.D.,Verra,AMS-III.D.,Soil & Livestock
AMS-I.D.,Verra,AMS-I.D.; AMS-III.H.,Mixed renewables
AMS-III.D.,Verra,AMS-III.D.; AMS-III.F.; VMR0007,Soil & Livestock
ACM0006,Verra,ACM0006; AMS-III.E.,Bioenergy
VMR0004,Verra,VMR0004; VM0038; Methodology Under Development,Electric vehicles
ACM0017,Verra,ACM0017,Forest management
AMS-III.AK,Verra,AMS-III.AK,Public transit
AMS-III.AO.,Verra,AMS-III.AO.,Waste management
ACM0016,Verra,ACM0016,Mixed renewables
VM0008,Verra,VM0008,Industrial efficiency
VM0045,Verra,VM0045,Reforestation and ecosystem restoration
VM0007,Verra,VM0007; VM0011,Forest management
AMS-I.D.,Verra,AMS-I.D.; AMS-II.C.,Mixed renewables
VM0036,Verra,VM0036,Fossil gas leaks
ACM0010,Verra,ACM0010,Soil & Livestock
VM0015,Verra,VM0015,Forest management
AMS-I.F.,Verra,AMS-I.F.; AMS-III.C.,Bioenergy
VM0007,Verra,VM0007; VM0033,Forest management
AMS-I.D.,Verra,AMS-I.D.,Mixed renewables
VMR0008,Verra,VMR0008,Waste management
AMS-III.AV.,Verra,AMS-III.AV.,Bioenergy
AMS-II.C.,Verra,AMS-II.C.,Efficient appliances
AMS-I.C.,Verra,AMS-I.C.,Mixed renewables
AMS-I.L.,Verra,AMS-I.L.,Solar
AM0080,Verra,AM0080,Solar
AMS-III.D.,Verra,AMS-III.D.; AMS-III.F.,Soil & Livestock
AMS-I.F.,Verra,AMS-I.F.; AMS-III.D.,Bioenergy
AMS-I.D.,Verra,AMS-I.D.; AMS-III.G.,Mixed renewables
AMS-III.D.,Verra,AMS-III.D.; AMS-III.H.; AMS-III.AO.,Soil & Livestock
VM0047,Verra,VM0047; VM0048,Forest management
VM0046,Verra,VM0046,Reforestation and ecosystem restoration
VM0042,Verra,VM0042; VM0047,Soil & Livestock
VM0033,Verra,VM0033; VM0042,Reforestation and ecosystem restoration
VM0033,Verra,VM0033; VM0047,Reforestation and ecosystem restoration
AMS-III.I.,Verra,AMS-III.I.,Wastewater treatment
VMR0006,Verra,VMR0006,Mixed renewables
VM0026,Verra,VM0026,Rewilding
AMS-III.Q,Verra,AMS-III.Q,Heat recovery
AMS-I.E.,Verra,AMS-I.E.; VMR0006; AMS-III.AV.,Bioenergy
